WindSpeed,MinTemp,MaxTemp,Humidity,Result
3,6,17,75,2
2,4,18,82,5
4,5,19,71,3
2,5,19,71,3
7,8,15,81,5
4,6,17,75,2
4,4,17,72,3
4,6,19,65,2
5,6,21,63,2
2,6,22,55,2
2,9,19,67,2
4,8,17,72,2
7,7,19,65,2
8,5,19,61,3
2,5,21,53,2
3,6,17,68,2
3,2,19,67,3
2,5,20,66,3
2,6,21,65,2
5,10,21,65,2
8,9,15,89,5
8,9,14,88,5
3,5,16,77,4
3,5,16,77,4
2,5,17,67,3
3,4,17,66,3
5,5,18,57,2
3,4,17,63,3
2,3,19,60,2
5,7,16,68,2
7,9,13,82,5
6,9,14,77,4
4,5,20,69,3
3,6,22,67,2
2,7,22,65,2
3,11,22,62,2
7,11,21,75,2
7,8,15,84,5
8,8,16,72,4
4,5,18,66,2
2,7,20,61,2
2,9,21,60,2
1,10,20,67,2
2,10,23,71,2
6,11,15,90,3
4,8,17,85,4
4,9,21,71,2
4,9,20,70,2
6,10,20,78,3
5,9,20,74,2
8,12,19,82,3
7,12,20,84,3
7,8,20,66,2
5,9,21,62,2
2,9,23,59,2
7,9,22,60,2
6,11,20,70,2
5,8,20,68,2
2,7,20,60,2
5,9,20,66,2
7,12,16,82,3
6,10,18,81,4
5,9,21,71,2
3,10,24,69,2
4,11,26,56,0
4,11,25,62,1
4,12,20,60,1
4,10,24,61,2
4,12,27,58,0
7,13,20,74,2
4,11,24,63,2
4,12,23,60,1
5,12,20,68,2
2,11,24,66,2
3,12,26,54,0
1,14,29,49,0
1,15,29,48,0
5,15,27,55,0
12,14,26,63,0
5,14,27,56,0
6,14,28,54,0
7,17,25,49,1
6,14,24,64,2
5,14,29,62,0
5,13,29,52,0
2,15,31,60,0
2,18,32,52,0
3,19,33,55,0
7,19,32,59,0
7,17,29,52,0
8,17,34,44,0
4,18,34,34,0
4,20,34,36,0
2,20,35,51,0
3,21,36,50,0
4,22,35,46,0
5,21,35,39,0
7,22,32,41,0
4,21,34,50,0
7,20,35,48,0
5,20,35,43,0
7,23,34,44,0
7,21,30,55,0
5,21,32,58,0
10,22,36,52,0
9,18,28,72,0
8,17,22,83,0
4,16,28,61,0
3,18,31,61,0
2,20,34,54,0
3,21,37,43,0
4,23,37,40,0
5,23,41,40,0
11,23,38,52,0
7,22,39,44,0
5,22,39,43,0
8,23,39,39,0
6,23,40,31,0
5,23,39,30,0
15,26,37,34,0
6,23,40,36,0
9,25,39,30,0
7,21,37,31,0
7,22,36,35,0
3,24,39,33,0
4,25,40,31,0
3,24,41,26,0
3,26,41,19,0
5,26,42,23,0
9,27,40,28,0
8,24,33,44,0
6,22,39,39,0
8,24,39,46,0
5,21,35,48,0
8,25,33,43,0
7,22,32,60,0
10,21,28,66,0
8,20,35,47,0
10,23,38,44,0
10,23,38,48,0
6,25,41,35,0
5,27,40,34,0
12,23,36,43,0
13,20,31,61,0
12,20,32,53,0
9,23,38,41,0
8,26,40,29,0
8,25,42,29,0
5,26,42,34,0
5,30,44,24,0
4,30,46,29,0
4,31,46,24,0
6,30,46,28,0
10,29,43,33,0
10,27,41,40,0
8,28,44,34,0
10,28,42,26,0
6,26,43,28,0
6,28,43,30,0
4,29,44,28,0
5,30,46,26,0
11,31,44,26,0
15,24,38,43,0
5,26,41,40,0
6,28,43,28,0
11,28,43,35,0
8,28,39,40,0
10,22,41,51,0
8,23,31,61,0
5,25,38,54,0
11,22,37,61,0
6,25,37,50,0
6,28,41,42,0
9,29,40,46,0
6,23,29,71,0
1,24,36,65,0
7,28,41,52,0
7,26,41,37,0
6,29,41,36,0
8,30,42,31,0
7,29,44,32,0
9,30,43,39,0
7,28,40,42,0
6,30,41,42,0
10,24,40,55,0
8,24,37,64,0
14,25,32,66,0
9,28,35,65,0
9,28,38,58,0
14,28,36,71,0
11,28,36,64,0
11,24,34,71,0
10,28,34,62,0
11,23,34,62,0
13,22,30,79,0
12,23,30,77,0
13,23,27,90,0
12,23,31,76,0
11,25,34,66,0
13,27,33,72,0
6,26,35,68,0
8,26,36,67,0
7,29,37,66,0
5,29,37,63,0
7,29,39,68,0
11,23,30,84,0
9,26,31,77,0
12,26,31,75,0
11,25,29,80,0
12,26,35,69,0
6,26,35,68,0
13,26,32,77,0
9,24,32,82,0
8,24,31,76,0
8,26,33,73,0
6,27,36,62,0
7,29,38,65,0
8,27,34,68,0
8,26,33,68,0
6,28,36,63,0
8,26,31,77,0
8,26,33,74,0
6,28,35,66,0
7,26,37,64,0
8,28,36,73,0
8,28,33,72,0
6,29,36,71,0
7,25,33,83,0
8,24,29,82,0
4,23,35,71,0
7,25,36,65,0
4,38,27,62,0
5,28,38,60,0
5,27,36,62,0
7,27,36,65,0
6,24,38,67,0
6,27,35,73,0
6,27,34,69,0
2,27,35,73,0
2,27,37,70,0
3,27,38,67,0
6,24,35,73,0
5,27,38,75,0
5,24,34,75,0
7,24,34,69,0
3,27,35,69,0
4,28,38,66,0
7,26,35,66,0
5,27,35,67,0
7,28,34,69,0
6,27,37,67,0
2,28,38,65,0
1,29,38,63,0
2,28,39,58,0
3,29,37,60,0
5,28,36,67,0
3,28,36,68,0
2,28,35,67,0
5,26,36,51,0
7,25,35,59,0
7,26,36,63,0
11,26,32,74,0
8,25,33,69,0
5,26,35,64,0
4,25,34,64,0
4,25,34,63,0
2,25,34,64,0
3,26,34,64,0
3,25,33,64,0
5,26,32,72,0
10,22,31,79,0
7,21,28,82,0
5,21,30,73,0
7,23,30,67,0
5,22,32,61,0
8,20,34,70,0
9,20,28,78,0
6,20,31,66,0
8,22,30,68,0
8,22,32,59,0
6,21,34,55,0
3,22,33,54,0
2,20,33,57,0
2,22,33,55,0
2,22,32,58,0
3,22,34,59,0
2,22,34,55,0
3,22,33,58,0
2,21,32,61,0
5,22,31,67,0
15,18,29,65,0
9,17,30,58,0
8,19,30,60,0
6,19,31,59,0
8,19,31,56,0
5,18,31,55,0
2,19,31,60,0
3,19,31,64,0
2,18,31,61,0
5,20,31,54,0
3,18,31,65,0
2,18,31,66,0
2,18,31,62,0
2,18,31,56,0
3,19,26,65,0
2,17,27,64,0
3,19,27,69,0
3,17,27,58,0
3,17,30,53,0
9,17,29,55,0
11,15,24,74,2
5,13,24,70,2
2,14,27,59,0
1,12,26,57,0
1,13,26,57,0
1,12,25,59,1
2,14,25,67,2
2,15,23,71,2
1,12,26,65,0
3,16,25,70,2
5,13,26,62,0
3,14,26,61,0
1,13,25,63,2
1,12,24,61,2
1,12,22,77,2
3,12,22,73,2
4,15,24,62,2
2,14,25,56,1
1,13,24,57,1
3,12,22,63,2
3,13,22,70,2
3,14,21,78,2
2,13,22,67,2
1,12,23,61,2
1,10,23,62,2
2,9,23,57,2
1,8,23,54,2
0,8,23,61,2
0,8,21,65,2
1,9,22,67,2
0,6,24,61,2
0,7,22,69,2
0,8,20,68,2
0,7,19,69,2
0,7,19,71,2
4,10,15,84,5
3,11,14,88,3
1,10,15,80,4
3,8,16,79,3
4,6,15,82,5
1,6,15,87,5
1,6,14,86,5
1,6,12,83,5
0,6,12,85,5
2,7,16,93,4
1,6,15,84,5
2,7,12,88,5
3,6,12,79,4
2,6,10,86,5
2,5,11,83,6
0,4,10,80,6
2,5,9,82,6
1,5,11,76,6
2,3,8,87,6
2,3,8,91,6
